method,seed,episode,step,action,selected_beam,oracle_action,oracle_beam,los_beam,oracle_action_match,measured_reward,true_reward,oracle_true_reward,oracle_reward_gap,true_rate,oracle_true_rate,oracle_rate_gap,true_outage,true_beam_success,rate,outage,beam_success,los_flag,reflection_ratio,num_available_paths,dominant_path_type,planning_latency_ms,latency_ms,fallback_triggered,guard_triggered,policy_confidence,policy_margin,policy_entropy,planner_value,planner_terminal_value,planner_beam_gain_value,planner_score_gap,planner_score_std,planner_candidates,planner_los_recovery_gate,planner_los_recovery_bias_max,planner_los_recovery_bias_chosen,planner_los_guard_used,planner_predictive_fallback_used,shortlist_size,shortlist_local_size,shortlist_global_fallback_count,shortlist_los_reserved,shortlist_reflection_reserved,shortlist_prev_beam_kept,shortlist_max_los_prob,shortlist_max_reflection_prob,shortlist_max_beam_gain,shortlist_beam_gain_weight,shortlist_blockage_hint,shortlist_reflection_hint,shortlist_used_global_pool,shortlist_base_pool_size
Reactive,0,0,35,16,16,16,16,16,1.0,6.2586862222161015,6.082283454849548,6.082283454849548,0.0,6.082283454849548,6.082283454849548,0.0,0.0,1.0,6.2586862222161015,0.0,1.0,1.0,0.11544964301697931,5,los,0.0026670004444895312,0.0026670004444895312,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,36,15,15,16,16,16,0.0,-1.3471094475293013,-1.3480609998466582,6.1895937237846015,7.53765472363126,0.8019390001533419,6.1895937237846015,5.387654723631259,1.0,0.0,0.8028905524706985,1.0,0.0,1.0,0.11569187806676078,5,los,0.002708000465645455,0.002708000465645455,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,37,16,16,16,16,16,1.0,5.865652968078892,6.145691524157096,6.145691524157096,0.0,6.295691524157096,6.295691524157096,0.0,0.0,1.0,6.015652968078892,0.0,1.0,1.0,0.11590984456703922,5,los,0.004292000085115433,0.004292000085115433,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,38,16,16,16,16,16,1.0,6.501755131812301,6.400230552431671,6.400230552431671,0.0,6.400230552431671,6.400230552431671,0.0,0.0,1.0,6.501755131812301,0.0,1.0,1.0,0.11609931214195729,5,los,0.003167000613757409,0.003167000613757409,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,39,16,16,16,16,16,1.0,6.7659088785559005,6.502821038307001,6.502821038307001,0.0,6.502821038307001,6.502821038307001,0.0,0.0,1.0,6.7659088785559005,0.0,1.0,1.0,0.11625539298186817,5,los,0.00291600008495152,0.00291600008495152,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,40,16,16,16,16,16,1.0,6.6881160202419085,6.603022877446792,6.603022877446792,0.0,6.603022877446792,6.603022877446792,0.0,0.0,1.0,6.6881160202419085,0.0,1.0,1.0,0.11637245726918749,5,los,0.0028340000426396728,0.0028340000426396728,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,41,16,16,16,16,16,1.0,6.315105324001018,6.700338875452231,6.700338875452231,0.0,6.700338875452231,6.700338875452231,0.0,0.0,1.0,6.315105324001018,0.0,1.0,1.0,0.11644404391439325,5,los,0.002791999577311799,0.002791999577311799,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,42,16,16,16,16,16,1.0,6.629574910275216,6.794207616217717,6.794207616217717,0.0,6.794207616217717,6.794207616217717,0.0,0.0,1.0,6.629574910275216,0.0,1.0,1.0,0.11646267500125827,5,los,0.002708000465645455,0.002708000465645455,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,43,16,16,16,16,16,1.0,6.805160086299942,6.883993210150013,6.883993210150013,0.0,6.883993210150013,6.883993210150013,0.0,0.0,1.0,6.805160086299942,0.0,1.0,1.0,0.11641976278790526,5,los,0.003041999661945738,0.003041999661945738,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,44,16,16,16,16,16,1.0,6.82716314884732,6.968975729943242,6.968975729943242,0.0,6.968975729943242,6.968975729943242,0.0,0.0,1.0,6.82716314884732,0.0,1.0,1.0,0.11630544450905947,5,los,0.002709000909817405,0.002709000909817405,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
