los_confidence_threshold,risk_threshold,path_spread_threshold,seed,avg_rate,outage,beam_success,avg_return,latency_ms,fallback_rate,reactive_guard_rate
0.5,0.55,0.4,4,5.220632790909436,0.07375,0.79,5.032820290909436,0.27730873500047437,0.3725,0.6275
0.5,0.55,0.6,0,5.121653365567717,0.0625,0.7725,4.951278365567718,0.21032880500229112,0.27,0.73
0.5,0.55,0.6,1,4.933943244292308,0.08374999999999999,0.77875,4.724630744292309,0.30034381499660867,0.4,0.6
0.5,0.55,0.6,2,4.9679070012245905,0.08,0.8037500000000001,4.770032001224591,0.263060742511243,0.35125,0.64875
0.5,0.55,0.6,3,4.9781901625249665,0.08875,0.785,4.760940162524966,0.28861343749667867,0.38375,0.61625
0.5,0.55,0.6,4,5.220632790909436,0.07375,0.79,5.032820290909436,0.27670697123994614,0.3725,0.6275
0.5,0.55,0.8,0,5.121653365567717,0.0625,0.7725,4.951278365567718,0.20908750000330656,0.27,0.73
0.5,0.55,0.8,1,4.933943244292308,0.08374999999999999,0.77875,4.724630744292309,0.2984657149988834,0.4,0.6
0.5,0.55,0.8,2,4.9679070012245905,0.08,0.8037500000000001,4.770032001224591,0.26377968876090563,0.35125,0.64875
0.5,0.55,0.8,3,4.9781901625249665,0.08875,0.785,4.760940162524966,0.2889470737471811,0.38375,0.61625
0.5,0.55,0.8,4,5.220632790909436,0.07375,0.79,5.032820290909436,0.2817441224965478,0.3725,0.6275
0.6,0.15,0.2,0,5.146769317058482,0.05,0.79125,5.005706817058481,0.2597443212368944,0.3425,0.6575
0.6,0.15,0.2,1,5.049439333893672,0.07375,0.7925,4.863501833893673,0.3561314137471072,0.48375,0.51625
0.6,0.15,0.2,2,4.968051818139414,0.07250000000000001,0.81625,4.787989318139413,0.3248025524874265,0.435,0.565
0.6,0.15,0.2,3,4.91228076293938,0.07875,0.80125,4.717280762939379,0.3384132149983543,0.45625,0.54375
0.6,0.15,0.2,4,5.220403083849457,0.075,0.79,5.031590583849457,0.32344198500538823,0.4275,0.5725
0.6,0.15,0.4,0,5.142889209453381,0.051250000000000004,0.79,4.99895170945338,0.2612146149999717,0.3425,0.6575
0.6,0.15,0.4,1,5.044633659034903,0.07625,0.79,4.853321159034905,0.3592646725041959,0.48375,0.51625
0.6,0.15,0.4,2,4.968051818139414,0.07250000000000001,0.81625,4.787989318139413,0.32397000500282047,0.435,0.565
0.6,0.15,0.4,3,4.906799509875328,0.0825,0.79625,4.704299509875327,0.33645365374184166,0.45625,0.54375
0.6,0.15,0.4,4,5.220403083849457,0.075,0.79,5.031590583849457,0.32541139499187466,0.4275,0.5725
0.6,0.15,0.6,0,5.142889209453381,0.051250000000000004,0.79,4.99895170945338,0.25820370374731283,0.3425,0.6575
0.6,0.15,0.6,1,5.044633659034903,0.07625,0.79,4.853321159034905,0.3629344412405544,0.48375,0.51625
0.6,0.15,0.6,2,4.968051818139414,0.07250000000000001,0.81625,4.787989318139413,0.32170158626058765,0.435,0.565
0.6,0.15,0.6,3,4.906799509875328,0.0825,0.79625,4.704299509875327,0.3400510962495673,0.45625,0.54375
0.6,0.15,0.6,4,5.220403083849457,0.075,0.79,5.031590583849457,0.322093760001394,0.4275,0.5725
0.6,0.15,0.8,0,5.142889209453381,0.051250000000000004,0.79,4.99895170945338,0.3026420275085684,0.3425,0.6575
0.6,0.15,0.8,1,5.044633659034903,0.07625,0.79,4.853321159034905,0.365015670005846,0.48375,0.51625
0.6,0.15,0.8,2,4.968051818139414,0.07250000000000001,0.81625,4.787989318139413,0.3205285937519875,0.435,0.565
0.6,0.15,0.8,3,4.906799509875328,0.0825,0.79625,4.704299509875327,0.3423197900036712,0.45625,0.54375
0.6,0.15,0.8,4,5.220403083849457,0.075,0.79,5.031590583849457,0.31737581125128145,0.4275,0.5725
0.6,0.25,0.2,0,5.12122015262276,0.053750000000000006,0.785,4.970782652622759,0.23116080625356972,0.29375,0.70625
0.6,0.25,0.2,1,5.022945705710923,0.075,0.7875,4.833758205710923,0.3356753837579163,0.44625,0.55375
0.6,0.25,0.2,2,4.957880880252806,0.0775,0.8075000000000001,4.766318380252805,0.3003919849976455,0.39875,0.60125
0.6,0.25,0.2,3,4.989794326716204,0.08125,0.7925,4.788856826716204,0.30881515874739307,0.4125,0.5875
0.6,0.25,0.2,4,5.226530670316105,0.07125000000000001,0.7925,5.0448431703161045,0.30076146874762344,0.4025,0.5975
0.6,0.25,0.4,0,5.117340045017659,0.05500000000000001,0.7837500000000001,4.964027545017659,0.227221953751382,0.29375,0.70625
0.6,0.25,0.4,1,4.99265390236538,0.08,0.7825,4.7932789023653815,0.33270698499165974,0.44625,0.55375
0.6,0.25,0.4,2,4.957880880252806,0.0775,0.8075000000000001,4.765943380252806,0.29984114500393844,0.39875,0.60125
0.6,0.25,0.4,3,4.986407974438558,0.08374999999999999,0.7887500000000001,4.780845474438557,0.31053338624928983,0.4125,0.5875
0.6,0.25,0.4,4,5.226530670316105,0.07125000000000001,0.7925,5.0448431703161045,0.3020383387536185,0.4025,0.5975
0.6,0.25,0.6,0,5.117340045017659,0.05500000000000001,0.7837500000000001,4.964027545017659,0.22640374874470126,0.29375,0.70625
0.6,0.25,0.6,1,4.99265390236538,0.08,0.7825,4.7932789023653815,0.33079198999473647,0.44625,0.55375
0.6,0.25,0.6,2,4.957880880252806,0.0775,0.8075000000000001,4.765943380252806,0.3051045100005467,0.39875,0.60125
0.6,0.25,0.6,3,4.986407974438558,0.08374999999999999,0.7887500000000001,4.780845474438557,0.3040577649971965,0.4125,0.5875
0.6,0.25,0.6,4,5.226530670316105,0.07125000000000001,0.7925,5.0448431703161045,0.3033224200009954,0.4025,0.5975
0.6,0.25,0.8,0,5.117340045017659,0.05500000000000001,0.7837500000000001,4.964027545017659,0.22552504499401493,0.29375,0.70625
0.6,0.25,0.8,1,4.99265390236538,0.08,0.7825,4.7932789023653815,0.33490453999718284,0.44625,0.55375
0.6,0.25,0.8,2,4.957880880252806,0.0775,0.8075000000000001,4.765943380252806,0.30489788499721726,0.39875,0.60125
